id_proposicao,casa,data,tipo_texto,descricao,link_inteiro_teor,pagina_inicial,tipo_emenda
135064,senado,2019-01-03,Avulso inicial da matéria,Avulso inicial da matéria,http://legis.senado.leg.br/sdleg-getter/documento?dm=7904756,1,NA
135064,senado,2019-02-04,Emenda,Estabelece a organização básica dos órgãos da Presidência da República e dos Ministérios.,http://legis.senado.leg.br/sdleg-getter/documento?dm=7909386,1,NA
135064,senado,2019-02-04,Emenda,Estabelece a organização básica dos órgãos da Presidência da República e dos Ministérios.,http://legis.senado.leg.br/sdleg-getter/documento?dm=7909389,1,NA
135064,senado,2019-02-04,Emenda,Estabelece a organização básica dos órgãos da Presidência da República e dos Ministérios.,http://legis.senado.leg.br/sdleg-getter/documento?dm=7909365,1,NA
135064,senado,2019-02-04,Emenda,Estabelece a organização básica dos órgãos da Presidência da República e dos Ministérios.,http://legis.senado.leg.br/sdleg-getter/documento?dm=7909374,1,NA
135064,senado,2019-02-04,Emenda,Estabelece a organização básica dos órgãos da Presidência da República e dos Ministérios.,http://legis.senado.leg.br/sdleg-getter/documento?dm=7909371,1,NA
135064,senado,2019-02-04,Emenda,Estabelece a organização básica dos órgãos da Presidência da República e dos Ministérios.,http://legis.senado.leg.br/sdleg-getter/documento?dm=7909368,1,NA
135064,senado,2019-02-05,Emenda,"Suprime o inciso II, do art. 5°, da Medida Provisória nº 870, de 2019.",http://legis.senado.leg.br/sdleg-getter/documento?dm=7909668,1,Emenda Supressiva
135064,senado,2019-02-05,Emenda,"Acrescente-se ao artigo 24 da MP 870/19, inciso XVI com a seguinte redação: XVI - Conselho Nacional de Segurança Alimentar e Nutricional.",http://legis.senado.leg.br/sdleg-getter/documento?dm=7909627,1,Emenda Modificativa
135064,senado,2019-02-05,Emenda,Suprima-se o inciso III do artigo 85 da MPV 870/219.,http://legis.senado.leg.br/sdleg-getter/documento?dm=7909630,1,Emenda Supressiva
135064,senado,2019-02-05,Emenda,Estabelece a organização básica dos órgãos da Presidência da República e dos Ministérios.,http://legis.senado.leg.br/sdleg-getter/documento?dm=7909515,1,NA
135064,senado,2019-02-05,Emenda,Estabelece a organização básica dos órgãos da Presidência da República e dos Ministérios.,http://legis.senado.leg.br/sdleg-getter/documento?dm=7909530,1,NA
